DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
05/05/2026;KOKUHÔ;KOKUHO - O PREÇO DA PERFEIÇÃO;E2600003700000;JAPAO;5001224;RESERVA CULTURAL 2;15;6000092;2336;6665;SÃO PAULO;SP;SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA;33.356.343/0001-42;304140611000726;03/06/2026 14:47:59
05/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5005314;ESPAÇO ITAÚ DE CINEMA AUGUSTA - SALA 5 (ANEXO);21;6000029;1944;31112;SÃO PAULO;SP;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
06/05/2026;KOKUHÔ;KOKUHO - O PREÇO DA PERFEIÇÃO;E2600003700000;JAPAO;5001224;RESERVA CULTURAL 2;12;6000092;2336;6665;SÃO PAULO;SP;SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA;33.356.343/0001-42;304140611000726;03/06/2026 14:47:59
06/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5007155;CINESYSTEM BRASILIA SALA 05;25;6000027;22546;58567;BRASÍLIA;DF;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
06/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5005314;ESPAÇO ITAÚ DE CINEMA AUGUSTA - SALA 5 (ANEXO);38;6000029;1944;31112;SÃO PAULO;SP;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
06/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5001098;SALA EDUARDO HIRTZ;4;;2864;6750;PORTO ALEGRE;RS;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
07/05/2026;KOKUHÔ;KOKUHO - O PREÇO DA PERFEIÇÃO;E2600003700000;JAPAO;5001225;RESERVA CULTURAL 3;10;6000092;2336;6665;SÃO PAULO;SP;SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA;33.356.343/0001-42;304140611000726;03/06/2026 14:47:59
08/05/2026;KOKUHÔ;KOKUHO - O PREÇO DA PERFEIÇÃO;E2600003700000;JAPAO;5001225;RESERVA CULTURAL 3;15;6000092;2336;6665;SÃO PAULO;SP;SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA;33.356.343/0001-42;304140611000726;03/06/2026 14:47:59
08/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5004898;CINE BELAS ARTES SALA 03;6;6000029;27912;27914;BELO HORIZONTE;MG;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
08/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5001792;SALADEARTE CINEMAM;8;6000052;5722;5694;SALVADOR;BA;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
